Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
107500,32467,115314,81655363,132809312,79515,173032,257712
108000,30430,118780,81852356,130304308,85200,176099,264840
108500,30612,120269,81450068,136184930,80477,185493,263934
109000,29093,122517,78886468,146579706,79279,174880,261754
109500,27449,91265,77473435,142434078,77631,176363,257204
110000,28218,96724,74305801,154481533,80215,192938,264462
110500,26743,94788,78924107,147691855,78831,180244,259800
111000,27385,88754,77790428,158396750,78175,177811,261205
111500,25270,87934,75717872,155697339,80240,175423,273489
112000,25546,98888,75343702,165158663,81567,177668,286728
112500,25965,88699,76284585,165639357,76619,180302,276764
113000,26272,93096,77127376,175161990,77582,180372,269765
113500,25044,98522,81490195,168278592,79488,181293,266878
114000,25840,91530,77273021,190952112,83752,177666,269599
114500,24518,89264,75465292,184077249,87404,176779,252929
115000,25121,108045,83250334,245129195,84753,179446,254470
115500,25131,84664,78297233,189685327,80253,175848,260367
116000,25793,82608,76588973,199909234,83769,177897,257286
116500,24146,82119,79535661,181838405,82832,177007,257309
117000,24460,83219,76949461,201808046,82412,176853,258712
117500,23839,82688,77221865,204536825,80535,177519,251795
118000,23946,87004,77380257,203074903,81620,178723,256920
118500,24596,88836,74895661,195190010,82604,185547,256715
119000,23516,87189,75639495,199917988,81366,176759,250182
119500,24036,86678,76485821,202690285,80147,180085,256218
120000,24581,88488,74005741,224880394,85677,183804,248368
120500,23848,84851,75990981,219962202,83238,180693,250653
121000,23589,83843,79648586,229148090,80134,179250,251504
121500,22963,78461,78521403,381763548,84638,179291,267010
122000,22276,82920,75082117,227636456,92177,175911,260341
122500,23502,89299,79478793,277006344,82875,178415,267302
123000,23150,83560,74905429,349797902,83994,179537,264587
123500,23302,84048,75682340,276495867,84003,178764,248778
124000,24519,86034,81632241,236399243,80723,182316,255446
124500,22527,93037,75742510,241106465,91073,176456,253378
125000,22351,88658,74425245,241267417,84035,177483,253965
125500,20886,80156,78060510,239041712,81947,177036,249861
126000,21630,77338,77175091,237784715,82672,180436,253681
126500,21954,77158,78735568,246862057,75657,180302,258876
127000,21638,79663,78246641,329936538,75895,206262,291421
127500,21795,79707,78465690,288174029,75034,219867,386006
128000,21783,78491,80341451,266769750,75621,243863,313431
128500,21138,81406,80565975,246526972,73490,243387,313631
129000,20269,77738,81296238,242031462,74972,263234,301971
129500,20609,76244,76914341,264904698,75204,224837,286335
130000,20865,76738,73517126,278097905,76425,224081,278024
130500,21632,77430,75672513,264459560,76273,217692,270613
131000,21131,85693,75236915,264590810,75398,210543,294279
131500,22544,82612,77626408,262270617,75436,206961,270727
132000,20310,76118,74417265,290290041,77404,204694,260841
132500,21262,77451,73201819,272524920,74390,200617,272140
133000,20578,78579,80715803,273402736,71384,202516,260257
133500,20359,77831,78966433,293912166,73269,195770,260973
134000,21012,77813,81777620,280475300,71615,210124,250827
134500,21268,79620,78056513,284200253,72432,191720,259552
135000,19932,75972,80244978,283538092,71405,194583,255851
135500,21214,77809,80276148,292748194,69691,191797,256956
136000,20517,82453,74532443,287380906,74706,190713,258416
136500,48953,75543,72787561,308112369,75439,192362,261562
137000,20711,74267,73694539,311046493,77911,187707,253373
137500,21726,81682,75771550,306972637,74153,185663,257812
138000,20734,76349,77409608,305991610,76477,186178,256217
138500,17911,77770,80540403,299138973,68452,186358,258834
139000,18908,81470,77075876,305685503,71970,183135,261442
139500,18140,76405,81304540,381353348,71038,179188,264298
140000,18631,75753,81424254,313870003,70186,186583,260373
140500,17860,83724,74982027,293266644,74135,180193,266765
141000,25282,76352,87390215,314197709,71533,180662,255848
141500,18251,74049,72445754,317109690,75435,179386,255989
142000,18420,73802,77288298,318476816,70974,176560,261676
142500,17520,75845,77270179,313430012,69935,189602,263314
143000,19391,79443,76276542,344006056,76167,178556,260094
143500,18902,77630,77391173,412860914,72557,179887,244871
144000,17864,77225,78239539,317206602,69933,180685,250578
144500,17703,75605,77478958,328096315,71342,179146,274990
145000,17828,80392,75188673,353061238,73609,186686,247652
145500,18843,78461,78004912,314575534,74464,188049,251304
146000,17383,75666,81368919,365775724,75952,184647,253346
146500,18174,76771,74888489,359729725,77697,191019,254256
147000,17110,76088,73234290,340251339,78148,187909,243675
147500,18604,79227,86207885,413972708,72443,192553,246476
148000,14203,76096,75075113,466813070,75374,197000,250352
148500,18871,80288,70928374,381198953,85362,193178,248771
149000,18117,85119,75852553,360926349,117881,186270,250458
149500,17306,77543,78327669,335398015,69519,185366,244957
150000,17835,82278,78962400,462104346,72843,188253,254892
150500,17751,79085,74813869,356016004,75619,194393,245869
151000,18587,75918,75298482,356300766,73754,182799,254338
151500,17151,79382,78628588,387710017,74146,185004,254079
152000,17823,74012,76088841,340148950,74422,185228,249698
152500,16950,78904,83012335,586080638,71341,187871,241018
153000,17449,82466,82564040,533270188,76590,184646,241594
153500,17863,77962,82510175,504265115,77255,179221,239092
154000,17681,76199,85408640,441474976,75214,181991,237613
154500,17151,75650,76817980,752375373,78028,181081,241745
155000,17218,73048,93183179,626980544,72294,184184,245844
155500,16912,78263,94842433,763270343,78088,179922,250349
156000,17743,80309,83553483,678614311,76698,185071,325844
156500,18128,74345,77405368,622758219,77471,178315,318107
157000,18657,75164,79546657,600977433,72707,178138,306379
157500,18437,79497,75328737,717295383,76931,189021,293508
158000,17054,78326,78764904,660998502,88109,179691,283386
158500,39068,76770,84420408,668322392,76499,179346,282928
159000,18190,77088,82444831,744911835,83093,196636,261668
159500,17708,74959,85733240,643537538,77356,186540,265909
160000,17519,74184,82407515,731853334,81213,186426,257539
160500,16835,77424,82779876,635352560,114295,188703,260005
161000,16512,75237,77560086,651941581,134248,183461,254644
161500,17020,75603,77561628,625964169,88244,182955,269959
162000,17232,77949,81477807,634035931,127958,177059,253449
162500,17002,76333,83724836,618406995,110730,180870,259099
163000,17055,77282,81487716,658399735,104414,182260,260266
163500,17684,77713,78660317,662918063,101402,178956,253471
164000,17319,77503,80838378,667656062,105584,179893,256595
164500,16947,75449,82499059,957929158,138693,177379,263949
165000,16903,73751,84702105,667521698,124338,188725,256653
165500,17006,77326,85968931,663493455,107818,191847,256786
166000,17306,75858,78564165,759394600,107145,181339,249960
166500,16030,75537,77326475,758768433,118238,194625,249036
167000,17832,88242,79137060,665691352,126853,201819,259990
167500,16675,77901,91904585,703035887,99720,232336,252848
168000,17364,76228,94482469,595298468,112895,215999,275341
168500,16999,77100,80046311,680531153,107473,258814,250836
169000,16544,77773,80203243,644348157,104423,271752,270568
169500,16907,76516,79115379,906558684,105106,232910,261415
170000,17067,74320,81338627,884237374,104452,228322,269891
170500,16802,78924,80310054,744493487,104573,227766,261375
171000,17199,75701,80245745,822975497,104235,226527,263766
171500,16528,74850,78356034,813154032,100525,216343,258768
172000,19035,74279,79530035,712861563,101599,212240,247192
172500,53879,77589,79347976,710865194,97504,216039,252822
173000,16072,77868,74594876,705758074,113356,217216,260437
173500,16520,77009,74230713,745023987,102767,217038,252379
174000,16594,75919,77140491,823713827,98747,229214,246330
174500,16718,74622,83182437,897892101,94539,217523,275442
175000,16982,77840,80454638,660481811,99076,221977,244176
175500,17528,76267,73002412,630613384,105314,202171,246521
176000,17410,78290,78442972,649516029,99078,202926,244797
176500,16790,74973,76650844,647974478,99471,202595,245317
177000,17398,77883,79704897,652504147,99375,209444,247599
177500,16334,77800,80235814,640990413,95211,199744,246008
178000,16640,82231,76913586,666862863,95616,197875,242293
178500,16203,79425,83594658,682904291,94465,198247,245294
179000,16846,75723,75628401,650657529,96103,192704,256809
179500,18163,78517,80610512,666296722,93962,197098,254558
180000,17136,80389,79682649,662523857,92666,191501,260679
180500,17222,75735,79808369,635763292,93907,188181,263213
181000,17173,74506,75667782,655454014,95064,188093,255032
181500,16761,74241,80942438,696808414,92360,202692,252340
182000,17365,78343,80117260,688091917,90624,191280,248337
182500,16480,81006,72080249,816225780,98609,186914,244363
183000,16638,78897,73342510,680925130,94515,186643,251972
183500,16658,77139,77570233,653918870,94189,183430,274000
184000,17191,77279,79723332,696421400,95471,190695,258800
